===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-08-06 01:12:43
count workspace : /Users/furkanacar/AndroidStudioProjects/hal_app/lib
total files : 130
total code lines : 12788
total comment lines : 1464
total blank lines : 1330

cat.dart, code is 200, comment is 19, blank is 18.
core/api/purchase_api.dart, code is 67, comment is 3, blank is 14.
core/enum/bildirim_types.enum.dart, code is 1, comment is 0, blank is 0.
core/enum/entitlement_enum.dart, code is 1, comment is 0, blank is 0.
core/enum/fireauth_request_enum.dart, code is 1, comment is 0, blank is 0.
core/enum/http_request_enum.dart, code is 1, comment is 0, blank is 0.
core/enum/preferences_keys_enum.dart, code is 9, comment is 0, blank is 0.
core/enum/sifat_names_enum.dart, code is 5, comment is 0, blank is 0.
core/enum/sifat_types_enum.dart, code is 1, comment is 0, blank is 0.
core/enum/subscription_types_enum.dart, code is 12, comment is 0, blank is 0.
core/exception/custom_exception_firebase.dart, code is 16, comment is 14, blank is 4.
core/extention/int_extension.dart, code is 14, comment is 0, blank is 5.
core/extention/network_type_extension.dart, code is 13, comment is 0, blank is 3.
core/extention/user_extension.dart, code is 20, comment is 0, blank is 4.
core/init/main_build.dart, code is 17, comment is 0, blank is 2.
core/init/network/core_dio.dart, code is 51, comment is 1, blank is 8.
core/init/network/firebase/auth/firebase_auth.dart, code is 77, comment is 0, blank is 10.
core/init/network/firebase/auth/IFirebase_auth.dart, code is 12, comment is 0, blank is 2.
core/init/network/ICore_dio.dart, code is 11, comment is 0, blank is 1.
core/init/network/network_manager.dart, code is 16, comment is 1, blank is 3.
core/model/base_model/base_model.dart, code is 4, comment is 0, blank is 0.
core/model/error_model/base_error_model.dart, code is 5, comment is 0, blank is 2.
core/model/error_model/IError_model.dart, code is 6, comment is 0, blank is 0.
core/model/firebase/firebase_auth_request_model.dart, code is 8, comment is 0, blank is 0.
core/model/firebase/firebase_auth_response_model.dart, code is 0, comment is 0, blank is 1.
core/model/response_model/IResponse_model.dart, code is 5, comment is 0, blank is 1.
core/model/response_model/response_model.dart, code is 9, comment is 0, blank is 2.
core/provider/revenue_cat.dart, code is 22, comment is 0, blank is 2.
data.dart, code is 105, comment is 0, blank is 1.
demo.dart, code is 0, comment is 325, blank is 0.
expanded.dart, code is 81, comment is 112, blank is 11.
feature/add_tc_page/view/add_tc_page.dart, code is 98, comment is 2, blank is 4.
feature/add_tc_page/viewmodel/cubit/add_tc_cubit.dart, code is 250, comment is 13, blank is 30.
feature/add_tc_page/viewmodel/cubit/add_tc_state.dart, code is 10, comment is 0, blank is 5.
feature/auth/login/view/login_page.dart, code is 83, comment is 16, blank is 8.
feature/auth/login/viewmodel/cubit/login_cubit.dart, code is 95, comment is 20, blank is 11.
feature/auth/login/viewmodel/cubit/login_state.dart, code is 14, comment is 0, blank is 6.
feature/auth/register/view/register_page.dart, code is 87, comment is 1, blank is 5.
feature/auth/register/viewmodel/cubit/register_cubit.dart, code is 33, comment is 0, blank is 7.
feature/auth/register/viewmodel/cubit/register_state.dart, code is 10, comment is 0, blank is 5.
feature/auth/sms_check_page/sms_check_view.dart, code is 37, comment is 0, blank is 4.
feature/helper/active_tc.dart, code is 6, comment is 1, blank is 3.
feature/helper/scaffold_messager.dart, code is 24, comment is 1, blank is 4.
feature/helper/subscription_helper/extension/active_user_subscription.dart, code is 61, comment is 2, blank is 9.
feature/helper/subscription_helper/extension/not_active_user_transaction.dart, code is 75, comment is 4, blank is 8.
feature/helper/subscription_helper/subscription_helper.dart, code is 31, comment is 4, blank is 12.
feature/helper/test.dart, code is 7, comment is 0, blank is 1.
feature/home/sub/add_profile/sub/add_profile/view/add_uretici_profile.dart, code is 262, comment is 3, blank is 16.
feature/home/sub/add_profile/view/add_profile_page.dart, code is 323, comment is 4, blank is 15.
feature/home/sub/add_profile/viewmodel/cubit/add_profile_cubit.dart, code is 142, comment is 4, blank is 19.
feature/home/sub/add_profile/viewmodel/cubit/add_profile_state.dart, code is 12, comment is 0, blank is 4.
feature/home/sub/bildirim/view/bildirim_view.dart, code is 918, comment is 10, blank is 44.
feature/home/sub/bildirim/viewmodel/cubit/bildirim_cubit.dart, code is 623, comment is 39, blank is 93.
feature/home/sub/bildirim/viewmodel/cubit/bildirim_state.dart, code is 8, comment is 0, blank is 3.
feature/home/sub/bildirim_page/main_bildirim_page/view/main_bildirim_page.dart, code is 85, comment is 7, blank is 6.
feature/home/sub/bildirim_page/main_bildirim_page/viewmodel/cubit/main_bildirim_cubit.dart, code is 46, comment is 36, blank is 9.
feature/home/sub/bildirim_page/main_bildirim_page/viewmodel/cubit/main_bildirim_state.dart, code is 13, comment is 0, blank is 4.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/view/komsiyoncu_bildirim_page.dart, code is 1173, comment is 25, blank is 50.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/viewmodel/cubit/komisyoncu_bildirim_page_cubit.dart, code is 447, comment is 43, blank is 69.
feature/home/sub/bildirim_page/sub/komisyoncu_bildirim_page_ureticiden_sevk_alım/viewmodel/cubit/komisyoncu_bildirim_page_cubit_bildirim_page_state.dart, code is 10, comment is 0, blank is 5.
feature/home/sub/bildirim_page/sub/satın_alım_page/view/satın_alım_page.dart, code is 1107, comment is 51, blank is 45.
